City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,katabu,-4.9333,122.5167,20.69,92,100,1.21,ID,1692213839
83,tazovsky,67.4667,78.7,6.3,82,6,4.15,RU,1692213538
84,wailua homesteads,22.0669,-159.378,28.44,81,40,6.69,US,1692213544
85,masallatah,32.6167,14.0,24.6,67,0,5.78,LY,1692213840
86,margaret river,-33.95,115.0667,12.89,73,60,6.08,AU,1692213840
87,acarau,-2.8856,-40.12,28.55,60,67,8.94,BR,1692213664
88,ushuaia,-54.8,-68.3,4.81,56,0,3.09,AR,1692213423
89,shantobe,52.4581,68.1839,16.47,52,100,1.57,KZ,1692213841
90,tangalle,6.024,80.7911,25.41,87,42,4.58,LK,1692213643
91,cruzeiro do sul,-29.5128,-51.9853,27.8,63,38,1.63,BR,1692213841
92,yoichi,43.2039,140.7703,25.01,88,44,5.46,JP,1692213842
93,hermoso campo,-27.6082,-61.3444,36.64,28,0,9.13,AR,1692213842
94,haiku-pauwela,20.9219,-156.3051,28.01,58,40,7.2,US,1692213590
95,kidal,18.4411,1.4078,30.9,49,100,4.8,ML,1692213530
96,hermanus,-34.4187,19.2345,12.67,82,0,5.29,ZA,1692213526
97,ta`u,-14.2336,-169.5144,27.29,73,7,7.74,AS,1692213843
98,mosjoen,65.836,13.1908,14.29,82,75,1.54,NO,1692213843
99,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,77,75,5.0,RU,1692213547
100,hammerfest,70.6634,23.6821,10.25,93,75,6.69,NO,1692213609
101,cabinda,-5.55,12.2,23.08,83,75,2.57,AO,1692213844
102,sierre,46.2919,7.5356,24.71,53,40,1.54,CH,1692213845
103,prado,-17.3411,-39.2208,23.6,78,100,4.64,BR,1692213682
104,thompson,55.7435,-97.8558,14.09,94,100,4.12,CA,1692213503
105,ust-nera,64.5667,143.2,13.34,94,100,1.7,RU,1692213552
106,arteche,12.2645,125.4048,24.77,90,94,1.51,PH,1692213580
107,masonboro,34.1793,-77.8475,34.03,64,20,6.69,US,1692213846
108,aswan,24.0934,32.907,36.61,17,0,3.6,EG,1692213846
109,faya-largeau,17.9257,19.1043,35.9,20,10,3.42,TD,1692213847
110,greci,45.1833,28.2333,26.25,44,9,2.58,RO,1692213847
111,remire-montjoly,4.9167,-52.2667,28.02,83,75,2.57,GF,1692213847
112,klyuchi,52.2667,79.1667,16.15,67,90,4.36,RU,1692213491
113,rio grande,-32.035,-52.0986,31.06,72,97,3.96,BR,1692213542
114,udachny,66.4167,112.4,16.36,72,92,1.1,RU,1692213532
115,liaoyuan,42.9036,125.1358,20.42,94,0,0.51,CN,1692213848
116,vorgashor,67.5833,63.95,13.9,95,99,3.31,RU,1692213520
117,chai badan,15.2,101.1333,25.59,81,100,2.34,TH,1692213849
118,kununurra,-15.7667,128.7333,17.99,88,8,1.03,AU,1692213588
119,dhanera,24.5167,72.0167,27.01,73,9,4.36,IN,1692213850
120,patigi,8.7333,5.75,26.14,84,61,1.75,NG,1692213850
121,kone,-21.0595,164.8658,14.39,84,0,1.01,NC,1692213851
122,colonia,50.9333,6.95,23.3,77,20,2.06,DE,1692213581
123,ribeira grande,38.5167,-28.7,26.22,89,40,7.2,PT,1692213507
124,blackwater,-23.5833,148.8833,14.83,100,82,2.79,AU,1692213851
125,hilo,19.7297,-155.09,28.49,84,40,1.79,US,1692213321
126,khandyga,62.6667,135.6,13.77,98,100,0.44,RU,1692213580
127,gaigeturi,33.4644,126.3183,26.03,78,0,1.54,KR,1692213852
128,mudgee,-32.5943,149.5871,4.0,83,1,1.03,AU,1692213853
129,hithadhoo,-0.6,73.0833,27.87,72,100,3.19,MV,1692213550
130,bamboo flat,11.7,92.7167,28.05,83,75,3.09,IN,1692213643
131,bethel,41.3712,-73.414,26.87,74,0,2.57,US,1692213487
132,duong dong,10.2167,103.9667,28.0,94,40,4.12,VN,1692213854
133,olonkinbyen,70.9221,-8.7187,6.41,88,98,3.62,SJ,1692213501
134,solwezi,-12.1688,26.3894,19.86,30,0,1.94,ZM,1692213854
135,vanimo,-2.6741,141.3028,25.06,91,100,2.16,PG,1692213855
136,alesund,62.4723,6.1549,16.06,91,75,3.6,NO,1692213825
137,shenandoah,30.4013,-91.0009,35.61,37,90,0.89,US,1692213855
138,newman,37.3138,-121.0208,36.7,19,0,2.02,US,1692213602
139,pontes e lacerda,-15.2261,-59.3353,37.02,17,0,2.71,BR,1692213771
140,fukuecho,32.6881,128.8419,26.2,86,100,7.93,JP,1692213856
141,port lincoln,-34.7333,135.8667,11.9,78,5,2.44,AU,1692213497
142,montevideo,-34.8335,-56.1674,20.01,73,75,6.69,UY,1692213735
143,stephenville,32.2207,-98.2023,37.09,22,0,2.68,US,1692213857
144,kailua-kona,19.6406,-155.9956,29.17,74,40,3.6,US,1692213656
145,geraldton,-28.7667,114.6,7.23,87,100,2.06,AU,1692213664
146,bandiagara,14.3501,-3.6104,29.44,59,100,3.78,ML,1692213633
147,wenchang,30.904,118.4887,24.43,91,1,0.43,CN,1692213858
148,owando,-0.4819,15.8999,26.14,63,33,1.06,CG,1692213858
149,sao jose da coroa grande,-8.8978,-35.1478,25.33,73,99,4.5,BR,1692213679
150,ventanas,-1.45,-79.4667,31.91,56,68,1.5,EC,1692213859
151,chavusy,53.8075,30.9712,20.68,71,7,1.86,BY,1692213859
152,bacalar,18.6667,-88.3833,32.06,66,40,6.69,MX,1692213860
153,oued fodda,36.185,1.533,36.81,15,20,6.17,DZ,1692213860
154,brady,31.1352,-99.3351,39.09,24,20,2.57,US,1692213860
155,el vigia,8.6219,-71.6506,32.89,55,60,1.75,VE,1692213860
156,bedele,8.456,36.353,14.03,95,100,0.53,ET,1692213861
157,stanley,54.868,-1.6985,16.77,88,20,2.57,GB,1692213534
158,madaoua,14.073,5.96,34.59,35,28,2.58,NE,1692213861
159,egilsstadir,65.2653,-14.3948,16.95,59,75,2.57,IS,1692213586
160,zhuji,29.7188,120.2423,23.79,94,22,0.4,CN,1692213862
161,katsuura,35.1333,140.3,26.6,91,3,5.62,JP,1692213862
162,arkhangel'sk,64.5401,40.5433,16.39,80,99,2.38,RU,1692213862
163,bosaso,11.2842,49.1816,32.92,52,98,2.54,SO,1692213863
164,mahina,-17.5065,-149.489,26.87,61,20,1.54,PF,1692213863
165,walvis bay,-22.9575,14.5053,13.38,78,100,6.04,NA,1692213587
166,zaigrayevo,51.8336,108.2703,10.75,95,100,5.84,RU,1692213864
167,corsicana,32.0954,-96.4689,35.38,31,0,3.6,US,1692213864
168,garoowe,8.4054,48.4845,29.05,36,3,10.88,SO,1692213865
169,ypsonas,34.6884,32.9574,27.54,83,0,4.63,CY,1692213865
170,enewetak,11.3474,162.3373,28.78,76,95,5.43,MH,1692213550
171,invercargill,-46.4,168.35,5.57,93,66,0.89,NZ,1692213519
172,antsiranana,-12.2787,49.2917,22.04,85,10,4.35,MG,1692213658
173,port hueneme,34.1478,-119.1951,40.11,75,75,6.17,US,1692213707
174,kapa'a,22.0752,-159.319,29.18,81,40,6.69,US,1692213688
175,college,64.8569,-147.8028,16.97,70,75,3.6,US,1692213488
176,vadso,70.0744,29.7487,15.49,94,75,7.72,NO,1692213516
177,tataouine,32.9297,10.4518,26.24,61,0,5.63,TN,1692213867
178,saint-felix-de-valois,46.1668,-73.4324,24.58,72,51,3.58,CA,1692213868
179,avarua,-21.2078,-159.775,24.03,73,75,6.17,CK,1692213512
180,axim,4.8699,-2.2405,24.53,89,52,3.05,GH,1692213868
181,dornbirn,47.4167,9.7331,25.52,73,99,2.39,AT,1692213869
182,darab,28.7519,54.5444,29.49,6,5,3.33,IR,1692213869
183,rabaul,-4.1967,152.1721,25.01,85,63,5.79,PG,1692213869
184,sovetskaya gavan',48.9723,140.2878,16.94,97,100,0.94,RU,1692213870
185,sandnessjoen,66.0217,12.6316,14.29,88,75,3.09,NO,1692213524
186,kodiak,57.79,-152.4072,14.73,63,20,7.72,US,1692213511
187,shanhecun,44.7,127.2,19.71,95,0,0.95,CN,1692213870
188,lincoln,40.8,-96.667,33.97,66,0,8.75,US,1692213849
189,kolyvan',55.3053,82.7391,13.79,95,100,4.73,RU,1692213871
190,lae,-6.7221,146.9847,23.07,90,100,1.51,PG,1692213871
191,melekeok village,7.4957,134.6367,26.31,94,75,3.09,PW,1692213872
192,margate,51.3813,1.3862,19.39,84,100,2.24,GB,1692213794
193,vilyuchinsk,52.9306,158.4028,14.15,85,100,4.13,RU,1692213601
194,ambovombe,-25.1667,46.0833,18.06,60,29,4.01,MG,1692213872
195,holualoa,19.6228,-155.9522,27.1,74,40,3.6,US,1692213551
196,odemira,37.598,-8.6397,18.98,68,3,3.77,PT,1692213873
197,anadyr,64.75,177.4833,13.28,81,100,0.89,RU,1692213537
198,nemuro,43.3236,145.575,18.54,98,100,9.6,JP,1692213640
199,kulhudhuffushi,6.6221,73.07,27.5,74,11,2.36,MV,1692213579
200,san antonio de pale,-1.4014,5.6325,23.48,89,85,4.4,GQ,1692213556
201,saipan,15.1355,145.701,26.47,100,0,0.45,MP,1692213489
202,nar'yan-mar,67.6713,53.087,11.9,97,100,2.48,RU,1692213596
203,cobh,51.8572,-8.2992,15.58,82,40,4.12,IE,1692213875
204,shilka,51.85,116.0333,19.33,76,100,1.35,RU,1692213875
205,kristiansund,63.1115,7.732,15.03,94,75,2.06,NO,1692213876
206,joao pinheiro,-17.7425,-46.1725,25.93,36,100,5.34,BR,1692213485
207,la junta,37.985,-103.5438,37.16,15,0,4.12,US,1692213794
208,hasaki,35.7333,140.8333,26.84,90,1,5.86,JP,1692213639
209,flying fish cove,-10.4217,105.6791,21.82,100,75,5.14,CX,1692213509
210,andergrove,-21.0833,149.1833,12.58,86,100,2.78,AU,1692213877
211,la passe,45.5549,-0.8967,26.13,79,26,4.81,FR,1692213511
212,taoudenni,22.6783,-3.9836,35.91,31,97,8.01,ML,1692213544
213,polignano a mare,40.9959,17.2159,27.07,71,0,2.76,IT,1692213877
214,keflavik,64.0049,-22.5624,13.95,82,100,5.66,IS,1692213533
215,berezovyy,51.6667,135.7,18.15,97,100,1.68,RU,1692213654
216,goz beida,13.95,20.55,32.47,35,22,2.15,TD,1692213878
217,hudson,40.7168,-74.0663,30.21,69,100,5.14,US,1692213878
218,la'ie,21.6477,-157.9253,28.98,87,62,7.63,US,1692213879
219,chinde,26.8418,88.0763,19.45,93,100,1.46,NP,1692213879
220,seguin,29.5688,-97.9647,40.58,25,0,2.06,US,1692213879
221,san julian,21.0167,-102.1667,25.49,36,11,7.33,MX,1692213633
222,mount isa,-20.7333,139.5,9.87,81,7,2.06,AU,1692213488
223,tocopilla,-22.092,-70.1979,20.31,63,11,5.57,CL,1692213880
224,nalut,30.3333,10.85,32.62,17,0,7.17,LY,1692213880
225,starobin,52.7267,27.4606,22.61,73,6,2.58,BY,1692213881
226,taitung city,22.7583,121.1444,27.03,84,100,1.05,TW,1692213881
227,shenkursk,62.1091,42.896,16.51,75,100,1.11,RU,1692213882
228,tralee,52.2704,-9.7026,16.25,81,71,0.83,IE,1692213882
229,tsumeb,-19.2333,17.7167,22.87,15,60,2.58,NA,1692213882
230,fuman,37.2273,49.3142,24.95,45,0,1.57,IR,1692213882
231,rapar,23.5667,70.6333,27.42,71,7,6.22,IN,1692213883
232,veinticinco de mayo,-35.4323,-60.1727,20.53,74,100,5.75,AR,1692213883
233,east london,-33.0153,27.9116,18.78,77,99,8.24,ZA,1692213524
234,tsiombe,-25.3,45.4833,19.07,52,83,3.57,MG,1692213688
235,cascais,38.6979,-9.4215,23.12,75,20,12.96,PT,1692213884
236,st. john's,47.5649,-52.7093,18.71,93,100,4.63,CA,1692213448
237,happy valley-goose bay,53.3168,-60.3315,19.17,52,40,3.6,CA,1692213884
238,louis trichardt,-23.0439,29.9032,13.51,77,46,1.86,ZA,1692213884
239,orichi,58.4036,49.0572,18.95,81,13,1.66,RU,1692213885
240,port saint john's,-31.6229,29.5448,18.06,81,100,6.36,ZA,1692213528
241,saint-philippe,-21.3585,55.7679,21.77,82,21,2.76,RE,1692213540
242,lander,42.833,-108.7307,34.5,20,0,1.54,US,1692213885
243,big spring,32.2504,-101.4787,36.24,30,75,1.54,US,1692213685
244,talnakh,69.4865,88.3972,5.67,86,0,2.12,RU,1692213499
245,kingston,17.997,-76.7936,35.13,65,20,8.23,JM,1692213585
246,tura,25.5198,90.2201,24.28,93,44,1.19,IN,1692213598
247,broome,42.2506,-75.833,26.05,81,75,3.09,US,1692213427
248,ndjole,-0.1783,10.7649,28.74,67,97,1.05,GA,1692213887
249,salinopolis,-0.6136,-47.3561,28.6,72,79,5.89,BR,1692213887
250,boguchany,58.3814,97.4531,10.95,82,100,1.17,RU,1692213887
251,kakamega,0.2842,34.7523,16.64,76,21,2.68,KE,1692213643
252,abepura,-2.6333,140.5833,24.45,83,20,0.0,ID,1692213888
253,oeiras,-7.0253,-42.1311,35.8,19,85,4.1,BR,1692213888
254,bikenibeu village,1.3673,173.1241,28.98,79,40,3.09,KI,1692213888
255,amahai,-3.3333,128.9167,24.22,85,100,1.98,ID,1692213889
256,ingeniero jacobacci,-41.3427,-69.5448,1.33,100,100,2.53,AR,1692213889
257,northam,51.0333,-4.2167,20.72,81,26,2.66,GB,1692213669
258,le port,-20.9373,55.2919,22.0,88,3,3.24,RE,1692213889
259,ambagarh chauki,20.7833,80.7167,24.8,86,100,2.31,IN,1692213889
260,kuanda,56.3161,116.0806,18.94,61,100,2.29,RU,1692213890
261,lebu,-37.6167,-73.65,12.15,95,100,3.4,CL,1692213534
